"EAN","IMG","Price","_type","name"
"4010355106629","https://cdn02.dm-static.com/images/mediacatalog/h4010355106629-873437/productimage_170x260/1507189823000/4010355106629-873437_org.png","0,85 €","DmBotItem","Professional  Expresskur Oil Repair"
"4010355135193","https://cdn02.dm-static.com/images/mediacatalog/h4010355135193-960589/productimage_170x260/1506662159000/4010355135193-960589_org.png","2,95 €","DmBotItem","Mizellenwasser trockene und sensible Haut"
"4010355117878","https://cdn02.dm-static.com/images/mediacatalog/h4010355117878-858788/productimage_170x260/1507204662000/4010355117878-858788_org.png","1,35 €","DmBotItem","Professional Shampoo Silberglanz "
"4010355176608","https://cdn02.dm-static.com/images/mediacatalog/h4010355176608-858798/productimage_170x260/1506524446000/4010355176608-858798_org.png","1,25 €","DmBotItem","Stückseife pH 5,5 Hautneutral"
"4010355106346","https://cdn02.dm-static.com/images/mediacatalog/h4010355106346-881845/productimage_170x260/1509713524000/4010355106346-881845_org.png","2,45 €","DmBotItem","Professional Locken Power Spray"
"4010355106384","https://cdn02.dm-static.com/images/mediacatalog/h4010355106384-881849/productimage_170x260/1509713747000/4010355106384-881849_org.png","2,95 €","DmBotItem","Professional Spray More Blond "
"4010355082299","https://cdn02.dm-static.com/images/mediacatalog/h4010355082299-881840/productimage_170x260/1506582052000/4010355082299-881840_org.png","1,45 €","DmBotItem","Peeling-Gel"
"4010355106100","https://cdn02.dm-static.com/images/mediacatalog/h4010355106100-879517/productimage_170x260/1509714058000/4010355106100-879517_org.png","1,35 €","DmBotItem","Professional Shampoo More Blond "
"4010355080608","https://cdn02.dm-static.com/images/mediacatalog/h4010355080608-879515/productimage_170x260/1506582049000/4010355080608-879515_org.png","1,35 €","DmBotItem","Professional Shampoo Repair + Pflege "
"4010355106124","https://cdn02.dm-static.com/images/mediacatalog/h4010355106124-879520/productimage_170x260/1509463805000/4010355106124-879520_org.png","1,35 €","DmBotItem","Professional Spülung More Blond "
"4010355106261","https://cdn02.dm-static.com/images/mediacatalog/h4010355106261-879522/productimage_170x260/1506582049000/4010355106261-879522_org.png","1,35 €","DmBotItem","Professional Spülung Glatt + Glanz "
"4010355171450","https://cdn02.dm-static.com/images/mediacatalog/h4010355171450-879537/productimage_170x260/1506582049000/4010355171450-879537_org.png","0,55 €","DmBotItem","Flüssigseife Milch & Honig"
"4010355171474","https://cdn02.dm-static.com/images/mediacatalog/h4010355171474-879538/productimage_170x260/1506582049000/4010355171474-879538_org.png","0,55 €","DmBotItem","Flüssigseife Milch & Honig Nachfüllpackung"
